Default Report
Last Modified: 2018-09-08 10:27:54 MDT


"Q1 - Though many _____ endlessly praised his work, Dan often wished for some honest criticism."
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,"Though many _____ endlessly praised his work, Dan often wished for some honest criticism.",1.00,5.00,4.46,1.15,1.33,35

#,Answer,%,Count
,Total,100%,4

Q63 - First aid treatment for a chemical burn involves what?
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,First aid treatment for a chemical burn involves what?,1.00,4.00,3.58,0.70,0.49,33

#,Answer,%,Count
1,Applying ointment over the affected area,3.03%,1
2,Removing dead skin,3.03%,1
3,Neutralizing the chemical,27.27%,9
4,"Flushing the chemicals off the affected area with cool, gently running water for 10 to 20 minutes",66.67%,22
,Total,100%,33

QAttentionCheck - What is 3+5?
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,What is 3+5?,4.00,4.00,4.00,0.00,0.00,40

#,Answer,%,Count
1,5,0.00%,0
2,6,0.00%,0
3,7,0.00%,0
4,8,100.00%,40
,Total,100%,40

"Q64 - If your co-worker needs CPR but you are not trained in it, what should you do?"
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,"If your co-worker needs CPR but you are not trained in it, what should you do?",1.00,4.00,2.27,0.93,0.86,30

#,Answer,%,Count
1,Give rescue breaths only,16.67%,5
2,Wait for emergency personnel to arrive,56.67%,17
3,Lift the patient's head,10.00%,3
4,Perform chest compressions only,16.67%,5
,Total,100%,30

Q65 - What type of bonds are formed by the side-to-side overlap of p orbitals?
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,What type of bonds are formed by the side-to-side overlap of p orbitals?,1.00,4.00,3.53,1.09,1.20,19

#,Answer,%,Count
1,sigma bonds,15.79%,3
2,omega bonds,0.00%,0
3,theta bonds,0.00%,0
4,pi bonds,84.21%,16
,Total,100%,19

Q66 - Nerve cells that sense touch are found mainly where?
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,Nerve cells that sense touch are found mainly where?,2.00,4.00,3.68,0.74,0.54,37

#,Answer,%,Count
1,stomach,0.00%,0
2,brain,16.22%,6
3,lungs,0.00%,0
4,skin,83.78%,31
,Total,100%,37

Q67 - At what water temperature should you bathe frostbitten skin?
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,At what water temperature should you bathe frostbitten skin?,1.00,4.00,2.63,1.25,1.57,24

#,Answer,%,Count
1,At 32 F (0 C),33.33%,8
2,Between 120 to 150 F (50 to 70 C),4.17%,1
3,You should never submerge frostbite into water,29.17%,7
4,Between 104 to 107.6 F (40 to 42 C),33.33%,8
,Total,100%,24

"Q68 - Modern tennis fans have come to realize that, although, quantum technological leaps in racquet technology have lead to _____ increases in the speed and power with which players can hit the ball, this has not necessarily lead to a more entertaining game."
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,"Modern tennis fans have come to realize that, although, quantum technological leaps in racquet technology have lead to _____ increases in the speed and power with which players can hit the ball, this has not necessarily lead to a more entertaining game.",1.00,5.00,4.11,1.29,1.67,28

#,Answer,%,Count
1,innocuous,7.14%,2
2,halcyon,10.71%,3
3,malleable,3.57%,1
4,tractable,21.43%,6
5,commensurate,57.14%,16
,Total,100%,28

"Q69 - Because he ate high-calorie snacks while riding the exercise bike, Julie ridiculed DeRay's workout philosophy as _____ ."
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,"Because he ate high-calorie snacks while riding the exercise bike, Julie ridiculed DeRay's workout philosophy as _____ .",2.00,5.00,3.97,1.18,1.39,31

#,Answer,%,Count
1,pithy,0.00%,0
2,indolent,16.13%,5
3,hackneyed,22.58%,7
4,precarious,9.68%,3
5,fatuous,51.61%,16
,Total,100%,31

Q70 - What is the maximum amount of time perishable food should be left out?
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,What is the maximum amount of time perishable food should be left out?,2.00,4.00,2.89,0.85,0.73,19

#,Answer,%,Count
1,1.5 hours,0.00%,0
2,3 hours,42.11%,8
3,3.5 hours,26.32%,5
4,2 hours,31.58%,6
,Total,100%,19

Q71 - What opens two strands of DNA?
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,What opens two strands of DNA?,1.00,4.00,2.87,1.38,1.92,30

#,Answer,%,Count
1,replication,33.33%,10
2,adenylate,3.33%,1
3,chromosome,6.67%,2
4,helicase,56.67%,17
,Total,100%,30

"Q72 - Just as different people can have very different personalities, so too can pets - even those of the same species and breed possess varied _____ ."
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,"Just as different people can have very different personalities, so too can pets - even those of the same species and breed possess varied _____ .",1.00,5.00,4.41,1.03,1.07,34

#,Answer,%,Count
1,initiations,2.94%,1
2,implementations,0.00%,0
3,aptitudes,23.53%,8
4,rationalizations,0.00%,0
5,temperaments,73.53%,25
,Total,100%,34

"Q73 - Although John F. Kennedy was known for his carefree flag football games, Gerald Ford should be _____ as our football president: he turned down offers to play for two National Football League teams in order to pursue a career in public service."
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,"Although John F. Kennedy was known for his carefree flag football games, Gerald Ford should be _____ as our football president: he turned down offers to play for two National Football League teams in order to pursue a career in public service.",1.00,5.00,2.25,1.55,2.40,28

#,Answer,%,Count
1,relegated,53.57%,15
2,abrogated,10.71%,3
3,annulled,7.14%,2
4,criticized,14.29%,4
5,apotheosized,14.29%,4
,Total,100%,28

Q74 - Most fungi get organic compounds from what?
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,Most fungi get organic compounds from what?,1.00,4.00,3.57,0.96,0.93,35

#,Answer,%,Count
1,inorganic material,8.57%,3
2,living organisms,8.57%,3
3,carnivorous organisms,0.00%,0
4,dead organisms,82.86%,29
,Total,100%,35

Q75 - What are by far the most common type of invertebrate?
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,What are by far the most common type of invertebrate?,1.00,4.00,3.24,1.07,1.15,29

#,Answer,%,Count
1,spiders,13.79%,4
2,crustaceans,6.90%,2
3,corals,20.69%,6
4,insects,58.62%,17
,Total,100%,29

Q76 - Many Major League Baseball relief pitchers choose an electrifying theme song to play as they take the mound; the song _____ their fans and instills fear in their opponents.
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,Many Major League Baseball relief pitchers choose an electrifying theme song to play as they take the mound; the song _____ their fans and instills fear in their opponents.,1.00,5.00,3.04,1.35,1.82,28

#,Answer,%,Count
1,eviscerates,3.57%,1
2,enervates,50.00%,14
3,assuages,14.29%,4
4,pervades,3.57%,1
5,innervates,28.57%,8
,Total,100%,28

Q77 - Working on scaffold during winds above ____ miles per hour is prohibited by OSHA.
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,Working on scaffold during winds above ____ miles per hour is prohibited by OSHA.,2.00,4.00,3.20,0.98,0.96,10

#,Answer,%,Count
1,10,0.00%,0
2,25,40.00%,4
3,50,0.00%,0
4,40,60.00%,6
,Total,100%,10

Q78 - How do very massive stars end their lives?
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,How do very massive stars end their lives?,1.00,4.00,1.94,1.15,1.33,36

#,Answer,%,Count
1,become super novas,52.78%,19
2,explode,16.67%,6
3,consumed by black hole,13.89%,5
4,become red supergiants,16.67%,6
,Total,100%,36

Q79 - Where should you aim a fire extinguisher nozzle when putting out a fire?
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,Where should you aim a fire extinguisher nozzle when putting out a fire?,2.00,4.00,3.83,0.50,0.25,36

#,Answer,%,Count
1,At the top of the fire,0.00%,0
2,At the center of the fire,5.56%,2
3,Away from the fire,5.56%,2
4,At the base of the fire,88.89%,32
,Total,100%,36

"Q80 - Despite her mentor's advice that she attempt to sound consistently _____ , the graduate student often resorted to using slang when presenting significant parts of her thesis, her habitual speech patterns overriding her years of learning."
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,"Despite her mentor's advice that she attempt to sound consistently _____ , the graduate student often resorted to using slang when presenting significant parts of her thesis, her habitual speech patterns overriding her years of learning.",1.00,5.00,3.00,1.67,2.80,30

#,Answer,%,Count
1,lucid,26.67%,8
2,didactic,23.33%,7
3,panegyrical,10.00%,3
4,rational,3.33%,1
5,erudite,36.67%,11
,Total,100%,30

Q81 - What should you NOT do when lowering a load?
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,What should you NOT do when lowering a load?,1.00,4.00,3.16,1.19,1.43,31

#,Answer,%,Count
1,Keep the load close to your body,19.35%,6
2,Bend your knees,6.45%,2
3,"Twist your body, keep the load close, and bend your knees",12.90%,4
4,Twist your body,61.29%,19
,Total,100%,31

"Q82 - Having squandered his life's savings on unprofitable business ventures, the _____ entrepreneur was forced to live in squalor."
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,"Having squandered his life's savings on unprofitable business ventures, the _____ entrepreneur was forced to live in squalor.",1.00,5.00,3.09,1.88,3.54,33

#,Answer,%,Count
1,former,42.42%,14
2,unlikely,0.00%,0
3,perturbed,9.09%,3
4,eccentric,3.03%,1
5,insolvent,45.45%,15
,Total,100%,33

Q83 - Workplaces with a minimum of ____ employees need to have a written fire prevention program in place.
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,Workplaces with a minimum of ____ employees need to have a written fire prevention program in place.,1.00,4.00,2.56,1.22,1.50,16

#,Answer,%,Count
1,5,25.00%,4
2,20,31.25%,5
3,25,6.25%,1
4,11,37.50%,6
,Total,100%,16

Q84 - What is the term for the total kinetic energy of moving particles of matter?
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,What is the term for the total kinetic energy of moving particles of matter?,1.00,4.00,2.44,0.83,0.69,36

#,Answer,%,Count
1,heavy energy,2.78%,1
2,mechanical energy,69.44%,25
3,Newton's energy,8.33%,3
4,thermal energy,19.44%,7
,Total,100%,36

"Q85 - Repulsed by _____ employees, the executive informed his staff that he preferred constructive criticism to calculated flattery."
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,"Repulsed by _____ employees, the executive informed his staff that he preferred constructive criticism to calculated flattery.",1.00,5.00,3.58,1.78,3.17,26

#,Answer,%,Count
1,natty,26.92%,7
2,profligate,7.69%,2
3,rapacious,3.85%,1
4,sententious,3.85%,1
5,obsequious,57.69%,15
,Total,100%,26

Q86 - Which fire extinguishers are used to put out fires caused by flammable liquids?
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,Which fire extinguishers are used to put out fires caused by flammable liquids?,1.00,3.00,2.43,0.58,0.33,23

#,Answer,%,Count
1,Class A water fire extinguishers,4.35%,1
2,Class C dry chemical fire extinguisher,47.83%,11
3,Class B carbon dioxide fire extinguisher,47.83%,11
,Total,100%,23

Q87 - How does a neon light produce visible light?
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,How does a neon light produce visible light?,1.00,4.00,2.59,1.43,2.05,32

#,Answer,%,Count
1,luminescence,40.63%,13
2,radiation,9.38%,3
3,mitosis,0.00%,0
4,electroluminescence,50.00%,16
,Total,100%,32

Q88 - The strength of a base depends on the concentration of _______ it produces when dissolved in water?
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,The strength of a base depends on the concentration of _______ it produces when dissolved in water?,3.00,4.00,3.96,0.19,0.03,28

#,Answer,%,Count
1,combustion ions,0.00%,0
2,calcium ions,0.00%,0
3,monoxide ions,3.57%,1
4,hydroxide ions,96.43%,27
,Total,100%,28

Q89 - What artery takes blood to the brain?
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,What artery takes blood to the brain?,1.00,4.00,2.90,1.02,1.04,21

#,Answer,%,Count
1,veins,14.29%,3
2,pulmonary,14.29%,3
3,coronary,38.10%,8
4,carotid,33.33%,7
,Total,100%,21

"Q90 - What agency inspects, grades, and enforces standards of quality and wholesomeness for meat, poultry, milk, eggs, and grains?"
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,"What agency inspects, grades, and enforces standards of quality and wholesomeness for meat, poultry, milk, eggs, and grains?",2.00,4.00,2.90,1.00,0.99,31

#,Answer,%,Count
1,CDC,0.00%,0
2,FDA,54.84%,17
3,EPA,0.00%,0
4,USDA,45.16%,14
,Total,100%,31

Q91 - What three major factors cause food contamination?
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,What three major factors cause food contamination?,1.00,4.00,3.40,1.20,1.44,35

#,Answer,%,Count
1,"Physical, biological, and radiological",20.00%,7
2,"Physical, psychological, and health",0.00%,0
3,"Physical, chemical, and psychosocial",0.00%,0
4,"Physical, biological, and chemical",80.00%,28
,Total,100%,35

"Q92 - When you discover a fire, you should do what?"
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,"When you discover a fire, you should do what?",4.00,4.00,4.00,0.00,0.00,40

#,Answer,%,Count
1,"Use a fire extinguisher to put out the fire, even if you've never used a fire extinguisher before",0.00%,0
2,Stay in the building until you figure out a way to extinguish the fire,0.00%,0
3,Run out of the building without warning others of the fire,0.00%,0
4,Pull the fire alarm and call the fire department,100.00%,40
,Total,100%,40

Q93 - The pesticides program SENSOR-Pesticides monitors _______.
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,The pesticides program SENSOR-Pesticides monitors _______.,1.00,4.00,2.73,1.21,1.47,11

#,Answer,%,Count
1,The amount of pesticides used in the U.S. annually,27.27%,3
2,Preventive measures undertaken during pesticide use,9.09%,1
3,Toxicity levels of pesticides,27.27%,3
4,Pesticide-related illnesses and injuries in the U.S.,36.36%,4
,Total,100%,11

Q94 - Seth was extremely _____ and did not enjoy activities that required effort to meet new people.
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,Seth was extremely _____ and did not enjoy activities that required effort to meet new people.,1.00,5.00,4.78,0.74,0.55,37

#,Answer,%,Count
1,extroverted,2.70%,1
2,gregarious,0.00%,0
3,lackluster,2.70%,1
4,jaded,5.41%,2
5,introverted,89.19%,33
,Total,100%,37

"Q95 - The recent convert, still a _____ with respect to the rites of her church, did not yet feel completely comfortable in her new faith."
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,"The recent convert, still a _____ with respect to the rites of her church, did not yet feel completely comfortable in her new faith.",1.00,5.00,3.44,1.27,1.61,25

#,Answer,%,Count
1,pilgrim,12.00%,3
2,iconoclast,8.00%,2
3,ascetic,28.00%,7
4,poseur,28.00%,7
5,tyro,24.00%,6
,Total,100%,25

"Q96 - If one were asked who transmitted the first radio broadcast of the human voice, one might guess the _____ inventor Guglielmo Marconi, but in fact the feat was accomplished by the much less well-known Reginald Fessenden."
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,"If one were asked who transmitted the first radio broadcast of the human voice, one might guess the _____ inventor Guglielmo Marconi, but in fact the feat was accomplished by the much less well-known Reginald Fessenden.",3.00,5.00,4.91,0.37,0.14,35

#,Answer,%,Count
1,infamous,0.00%,0
2,contingent,0.00%,0
3,cogent,2.86%,1
4,insistent,2.86%,1
5,renowned,94.29%,33
,Total,100%,35
